B4,B3,B2,B8,B11,B12,NDVI,NDBI,MNDWI,NDSLI,class,sample
0.0461,0.0728,0.0901,0.2457,0.1237,0.0462,0.6840302,-0.33026528,-0.25903305,-0.45700824,1,train
0.0479,0.0778,0.0937,0.2903,0.1248,0.0466,0.71673566,-0.39869913,-0.2319842,-0.44528082,1,train
0.0491,0.0797,0.0936,0.2854,0.129,0.0485,0.7064275,-0.37741315,-0.23622422,-0.44862434,1,train
0.0487,0.0789,0.0948,0.2827,0.1271,0.0474,0.70609534,-0.37969738,-0.2339806,-0.44596133,1,train
0.0493,0.0786,0.0944,0.2758,0.1317,0.0502,0.6967087,-0.35361964,-0.25249642,-0.4552486,1,train
0.0477,0.0769,0.0929,0.2555,0.1267,0.0484,0.6853562,-0.33699632,-0.24459726,-0.45298165,1,train
0.0492,0.078,0.0927,0.2613,0.1267,0.0484,0.6830918,-0.34690723,-0.23790912,-0.44059125,1,train
0.0486,0.0781,0.0936,0.2585,0.13,0.0502,0.68349075,-0.33075938,-0.24939929,-0.45576707,1,train
0.0475,0.0781,0.0932,0.2709,0.1274,0.0476,0.70163316,-0.36028123,-0.23990265,-0.45683247,1,train
0.0473,0.0757,0.092,0.2456,0.1264,0.0492,0.6770229,-0.32043013,-0.25086588,-0.45538282,1,train
0.0491,0.0748,0.0921,0.2409,0.1264,0.0492,0.6613793,-0.3117343,-0.2564612,-0.44045582,1,train
0.0482,0.0761,0.0917,0.2406,0.1273,0.0502,0.666205,-0.30796415,-0.25172073,-0.45071223,1,train
0.0466,0.0744,0.0925,0.2391,0.1273,0.0502,0.67378366,-0.30513102,-0.2622707,-0.4640598,1,train
0.0478,0.077,0.0936,0.2846,0.1297,0.0483,0.7123947,-0.37388363,-0.2549589,-0.46140847,1,train
0.0483,0.0763,0.093,0.263,0.1297,0.0483,0.6896884,-0.33944488,-0.2592233,-0.45730338,1,train
0.0482,0.0775,0.0937,0.2511,0.1279,0.0498,0.67791516,-0.32506594,-0.24537489,-0.45258376,1,train
0.0483,0.0769,0.0931,0.2579,0.1279,0.0498,0.6845199,-0.33696213,-0.24902347,-0.45175937,1,train
0.0501,0.0768,0.0924,0.2534,0.1276,0.0511,0.6698517,-0.3301837,-0.24853227,-0.43612832,1,train
0.0478,0.0761,0.094,0.245,0.1276,0.0511,0.67349726,-0.3150832,-0.2528228,-0.45496008,1,train
0.0463,0.0759,0.0925,0.2633,0.1304,0.0486,0.70090437,-0.33756667,-0.26417837,-0.47594792,1,train
0.047,0.076,0.0924,0.2657,0.1304,0.0486,0.69939244,-0.34158042,-0.26356593,-0.47012404,1,train
0.0471,0.0762,0.0927,0.2604,0.1303,0.0508,0.69365853,-0.33299205,-0.26198548,-0.4689966,1,train
0.0456,0.0739,0.0915,0.2357,0.1303,0.0508,0.67579097,-0.28797814,-0.27619982,-0.48152357,1,train
0.0489,0.077,0.0918,0.2372,0.1303,0.0521,0.65816146,-0.29088438,-0.2571153,-0.45424107,1,train
